127.0.0.1 - - [10/Dec/2025:15:28:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:09 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:09 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:22 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:22 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:41 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:28:43 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:29:44 +0530] "GET /QuizPortal/view/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:29:50 +0530] "GET /QuizPortal/user/login HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:29:55 +0530] "GET /QuizPortal/user/login HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:35:40 +0530] "GET /QuizPortal/user/login HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:53:00 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:53:00 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:53:20 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:53:26 +0530] "GET /QuizPortal/user/login HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:54:37 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2025:15:54:37 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:01:54 +0530] "GET /QuizPortal/admin/login.jsp HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [10/Dec/2025:16:02:04 +0530] "GET /QuizPortal/admin/dashboard.jsp HTTP/1.1" 302 -
